step	temp	press	pressGiga	vol	ke	pe	density(1600)
28000	1610.767283	15212.86441	1.521286441	20485.93622	359.5752377	-7205.877185	8.254590453
29000	1574.081614	17129.50244	1.712950244	20499.78766	351.3858124	-7191.130898	8.249012932
30000	1627.742477	21452.31165	2.145231165	20396.49859	363.3646489	-7210.053224	8.29078642
31000	1638.394765	19989.42876	1.998942876	20458.86276	365.7425831	-7192.921556	8.265513851
32000	1632.151186	15815.52615	1.581552615	20496.75643	364.3488149	-7199.045043	8.250232863
33000	1624.858294	15440.0733	1.54400733	20486.94028	362.720806	-7203.353065	8.254185897
34000	1562.414861	20740.15021	2.074015021	20451.33884	348.7814167	-7191.097493	8.268554681
35000	1555.826125	18480.98965	1.848098965	20449.00393	347.3105982	-7204.156618	8.269498802
36000	1536.977696	10825.26297	1.082526297	20533.77382	343.1030207	-7204.724724	8.235359706
37000	1593.385407	9294.493028	0.929449303	20575.60377	355.695042	-7196.281323	8.218617319
38000	1649.772815	18045.13397	1.804513397	20475.40514	368.2825311	-7198.27904	8.258836021
39000	1606.730737	19325.56337	1.932556337	20416.46458	358.6741503	-7214.303379	8.282678565
40000	1574.269606	15543.8741	1.55438741	20453.60828	351.4277784	-7213.747452	8.267637239
41000	1635.590025	10522.92116	1.052292116	20531.90576	365.1164747	-7208.588611	8.236108985
42000	1609.962405	14798.78547	1.479878547	20472.72795	359.3955629	-7210.413878	8.259916018
43000	1563.946976	7849.452366	0.784945237	20547.26567	349.1234343	-7210.209637	8.229952162
44000	1579.440352	12849.7429	1.28497429	20494.31536	352.5820557	-7211.481553	8.251215547
45000	1601.299755	17498.21588	1.749821588	20432.17036	357.4617799	-7214.04366	8.276311843
46000	1627.789802	18275.70052	1.827570052	20460.95461	363.3752132	-7200.521263	8.264668817
47000	1628.367038	18625.50167	1.862550167	20453.23968	363.504071	-7202.835693	8.267786236
48000	1576.937866	12862.17886	1.286217886	20536.6326	352.0234201	-7195.648459	8.234213311
49000	1610.742521	19020.43009	1.902043009	20447.40068	359.5697099	-7201.492335	8.2701472
50000	1614.992473	20949.92623	2.094992623	20433.6134	360.5184365	-7200.09507	8.275727364
51000	1595.023829	19696.33094	1.969633094	20436.86787	356.0607907	-7201.408936	8.274409494
52000	1627.295547	23809.46269	2.380946269	20386.5393	363.2648795	-7204.193783	8.294836658
53000	1600.55331	19734.52262	1.973452262	20430.48248	357.2951493	-7205.898981	8.276995597
54000	1588.305604	15707.20733	1.570720733	20484.65122	354.5610661	-7202.41895	8.255108261
55000	1637.142437	16640.23342	1.664023342	20471.28213	365.4630232	-7205.424996	8.26049939
56000	1567.991186	13515.65632	1.351565632	20500.09767	350.0262323	-7206.212435	8.248888188
57000	1580.817052	12068.16847	1.206816847	20505.57932	352.8893797	-7209.192171	8.246683056
58000	1593.783122	14515.41236	1.451541236	20462.63249	355.783825	-7216.151909	8.263991135
59000	1657.338742	16536.96158	1.653696158	20467.75576	369.9714902	-7209.561602	8.261922581
60000	1652.155014	20381.7384	2.03817384	20396.39406	368.8143148	-7216.833629	8.29082891
61000	1655.499155	16153.12552	1.615312552	20472.47767	369.5608351	-7208.129956	8.260016998
62000	1604.618069	20073.83389	2.007383389	20391.34558	358.2025346	-7216.914752	8.292881547
63000	1605.675677	15071.39212	1.507139212	20488.75049	358.4386269	-7203.255506	8.253456626
64000	1555.547937	10418.63901	1.041863901	20595.23613	347.2484978	-7186.218516	8.210782943
65000	1603.135463	13553.09911	1.355309911	20518.59311	357.8715693	-7199.341993	8.241452646
66000	1574.577356	11838.49728	1.183849728	20530.13622	351.4964781	-7201.415411	8.236818874
67000	1574.976511	10416.13585	1.041613585	20517.36332	351.5855824	-7212.972631	8.241946634
68000	1578.170192	13672.70354	1.367270354	20531.07801	352.298515	-7195.060297	8.236441039
